epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.742462,0.002,792,1609.54,2547.4,35,634
0.525,0.002,1368,886.534,1398.86,34,624
0.371231,0.002,2520,531.959,841.235,34,644
0.2625,0.002,4824,377.846,596.001,36,621
0.185616,0.002,9432,228.275,360.28,35,630
0.13125,0.002,18648,151.992,239.591,37,652
0.0928078,0.002,37080,66.1735,105.176,40,775
0.065625,0.002,73944,44.1551,69.5942,36,725
0.0464039,0.002,147672,24.7605,38.7137,37,687
0.0328125,0.002,295128,12.1965,18.9356,35,669
0.0232019,0.002,590040,6.24887,9.64384,36,672
0.0164062,0.002,1179864,1.98944,3.11748,39,766
0.011601,0.002,2359512,1.02702,1.57912,38,975
0.00820312,0.002,4718808,0.212321,0.338033,48,841
0.00580049,0.002,9437400,0.00220367,0.0039411,60,867
0.00410156,0.002,18874584,3.93663e-05,6.25571e-05,57,794
0.00290024,0.002,37748952,4.46836e-08,1.25114e-05,54,809
0.742462,0.03125,440,1832.57,2893.46,16,625
0.525,0.03125,760,1135.81,1788.68,18,639
0.371231,0.03125,1400,669.874,1064.37,17,627
0.2625,0.03125,2680,477.238,752.384,17,630
0.185616,0.03125,5240,286.614,452.204,18,625
0.13125,0.03125,10360,196.232,308.926,17,632
0.0928078,0.03125,20600,110.65,174.104,17,625
0.065625,0.03125,41080,59.857,94.4816,18,633
0.0464039,0.03125,82040,29.2854,47.5034,17,647
0.0328125,0.03125,163960,16.4668,25.8612,19,642
0.0232019,0.03125,327800,7.85404,12.2516,17,648
0.0164062,0.03125,655480,4.20861,6.37024,21,736
0.011601,0.03125,1310840,1.11561,1.76632,18,831
0.00820312,0.03125,2621560,0.331229,0.531723,30,762
0.00580049,0.03125,5243000,0.24215,0.389393,25,754
0.00410156,0.03125,10485880,4.46836e-08,1.25114e-05,25,833
0.00290024,0.03125,20971640,4.46836e-08,1.25114e-05,29,717
0.742462,0.125,264,3108.77,4908.19,10,602
0.525,0.125,456,1650.95,2607.86,10,620
0.371231,0.125,840,936.627,1479.56,10,619
0.2625,0.125,1608,594.114,936.364,11,600
0.185616,0.125,3144,405.817,640.114,10,607
0.13125,0.125,6216,232.951,367.504,10,594
0.0928078,0.125,12360,138.292,217.885,12,615
0.065625,0.125,24648,84.3323,133.217,9,606
0.0464039,0.125,49224,48.6871,76.4283,9,598
0.0328125,0.125,98376,32.6568,51.5623,9,599
0.0232019,0.125,196680,11.7902,18.6856,10,662
0.0164062,0.125,393288,5.99245,9.10196,13,701
0.011601,0.125,786504,3.72493,6.08667,11,655
0.00820312,0.125,1572936,0.294929,0.447959,10,632
0.00580049,0.125,3145800,0.0130847,0.021895,26,683
0.00410156,0.125,6291528,4.46836e-08,1.25114e-05,11,687
0.00290024,0.125,12582984,4.46836e-08,1.25114e-05,15,653
