epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.742462,0.001,880,1383.16,2183.49,44,801
0.525,0.001,1520,950.475,1499.58,42,784
0.371231,0.001,2800,574.558,906.423,40,737
0.2625,0.001,5360,355.533,561.717,40,750
0.185616,0.001,10480,223.55,351.583,43,703
0.13125,0.001,20720,140.272,221.496,41,699
0.0928078,0.001,41200,73.8578,116.655,40,811
0.065625,0.001,82160,30.6828,50.6517,47,797
0.0464039,0.001,164080,25.6358,40.0805,47,760
0.0328125,0.001,327920,11.5207,17.8785,51,1064
0.0232019,0.001,655600,6.05906,9.30386,86,1452
0.0164062,0.001,1310960,2.11197,3.2341,58,1522
0.011601,0.001,2621680,0.884007,1.38992,194,1804
0.00820312,0.001,5243120,0.122333,0.200821,52,937
0.00580049,0.001,10486000,4.46836e-08,1.25114e-05,59,991
0.00410156,0.001,20971760,4.46836e-08,1.25114e-05,65,866
0.00290024,0.001,41943280,4.46836e-08,1.25114e-05,62,849
0.742462,0.03125,440,2130.11,3368.09,16,638
0.525,0.03125,760,1367.19,2156.55,18,701
0.371231,0.03125,1400,852.576,1346.02,19,774
0.2625,0.03125,2680,427.006,673.899,17,684
0.185616,0.03125,5240,323.355,510.585,17,662
0.13125,0.03125,10360,180.577,285.336,21,685
0.0928078,0.03125,20600,145.902,230.698,17,664
0.065625,0.03125,41080,63.7539,100.285,17,663
0.0464039,0.03125,82040,34.9312,54.7319,19,672
0.0328125,0.03125,163960,19.3084,30.1431,18,659
0.0232019,0.03125,327800,9.13083,14.021,18,665
0.0164062,0.03125,655480,3.6277,5.50629,18,761
0.011601,0.03125,1310840,1.67292,2.62192,19,675
0.00820312,0.03125,2621560,0.684233,1.0932,18,736
0.00580049,0.03125,5243000,4.46836e-08,1.25114e-05,38,801
0.00410156,0.03125,10485880,4.46836e-08,1.25114e-05,34,803
0.00290024,0.03125,20971640,4.46836e-08,1.25114e-05,42,850
0.742462,0.125,264,2849.35,4493.4,10,733
0.525,0.125,456,1664.8,2646.46,13,801
0.371231,0.125,840,1085.2,1717.42,12,846
0.2625,0.125,1608,658.603,1041.09,9,640
0.185616,0.125,3144,358.158,566.937,10,627
0.13125,0.125,6216,222.313,351.508,9,642
0.0928078,0.125,12360,140.793,221.492,12,633
0.065625,0.125,24648,74.5004,120.71,10,625
0.0464039,0.125,49224,43.6755,69.1265,10,632
0.0328125,0.125,98376,25.7314,40.027,10,631
0.0232019,0.125,196680,13.7003,21.2799,9,635
0.0164062,0.125,393288,6.00035,9.08353,11,630
0.011601,0.125,786504,2.20998,3.26587,11,658
0.00820312,0.125,1572936,1.29706,2.27284,11,661
0.00580049,0.125,3145800,0.343382,0.524028,10,669
0.00410156,0.125,6291528,4.46836e-08,1.25114e-05,20,672
0.00290024,0.125,12582984,4.46836e-08,1.25114e-05,14,684
0.742462,0.001,880,1651.71,2615.37,41,693
