epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,262192,21.4919,33.6067,6,22
0.002,0.25,16777264,4.46836e-08,1.25114e-05,10,31
0.05,0.25,32816,108.28,169.394,6,23
0.02,0.125,393288,5.46919,8.73139,8,31
0.002,0.125,25165896,4.46836e-08,1.25114e-05,16,43
0.05,0.125,49224,48.2207,75.6609,11,42
0.02,0.0625,524384,6.32403,10.0103,15,53
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,25,92
0.05,0.0625,65632,50.7461,79.7311,12,39
0.02,0.03125,655480,3.87599,6.02899,17,54
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,32,96
0.05,0.03125,82040,37.2404,58.4898,16,43
0.02,0.015625,786576,2.96718,4.81086,22,59
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,36,139
0.05,0.015625,98448,35.0061,54.6255,24,79
0.02,0.0078125,917672,2.98396,4.53514,30,86
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,94,205
0.05,0.0078125,114856,32.1847,50.1028,28,66
0.02,0.00390625,1048768,2.93534,4.43375,37,96
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,47,125
0.05,0.00390625,131264,25.5938,40.4209,27,63
0.02,0.00195312,1179864,2.22053,3.41985,34,81
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,45,135
0.05,0.00195312,147672,22.9407,36.0241,38,71
0.02,0.000976562,1310960,2.69926,4.2329,44,103
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,54,184
0.05,0.000976562,164080,29.819,47.4514,48,88
0.02,0.000488281,1442056,1.84144,2.82689,43,122
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,69,160
0.05,0.000488281,180488,22.6688,35.4508,41,86
0.02,0.000244141,1573152,2.58247,4.02732,48,110
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,74,217
0.05,0.000244141,196896,22.8319,35.4989,47,94
0.02,0.00012207,1704248,1.69599,2.64653,52,113
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,67,187
0.05,0.00012207,213304,19.4038,30.7916,52,99
0.02,6.10352e-05,1835344,2.34343,3.61665,60,122
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,72,217
0.05,6.10352e-05,229712,18.1582,28.4742,55,106
0.02,3.05176e-05,1966440,1.71088,2.65377,62,128
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,75,235
0.05,3.05176e-05,246120,17.9827,28.562,60,112
0.02,1.52588e-05,2097536,1.36792,2.13257,70,137
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,81,253
0.05,1.52588e-05,262528,16.4366,25.8409,66,119
0.02,7.62939e-06,2228632,1.46596,2.32611,86,150
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,97,265
0.05,7.62939e-06,278936,16.2767,25.6474,80,127
0.02,3.8147e-06,2359728,1.40868,2.18498,91,154
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,101,288
0.05,3.8147e-06,295344,18.1647,28.2627,90,137
0.02,1.90735e-06,2490824,1.48762,2.31887,98,170
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,108,301
0.05,1.90735e-06,311752,15.3643,24.3062,91,141
0.02,0.25,262192,20.4402,30.0484,7,21
0.002,0.25,16777264,4.46836e-08,1.25114e-05,11,36
0.05,0.25,32816,115.597,181.257,6,23
0.02,0.125,393288,5.42367,8.31444,8,29
0.002,0.125,25165896,4.46836e-08,1.25114e-05,15,50
0.05,0.125,49224,52.4857,81.8548,9,31
0.02,0.0625,524384,6.746,10.2653,12,38
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,24,57
0.05,0.0625,65632,40.5751,65.1811,13,37
0.02,0.03125,655480,3.31429,5.29035,16,46
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,27,80
0.05,0.03125,82040,40.5293,63.076,16,44
0.02,0.015625,786576,2.97889,4.76938,22,56
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,32,87
0.05,0.015625,98448,31.0474,48.4864,20,50
0.02,0.0078125,917672,3.15676,5.03462,24,66
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,39,103
0.05,0.0078125,114856,26.8326,42.0377,26,56
0.02,0.00390625,1048768,2.91776,4.44323,30,70
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,46,123
0.05,0.00390625,131264,21.6073,34.8208,30,67
0.02,0.00195312,1179864,2.21592,3.36127,37,79
