epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.742462,1e-05,1496,1306.69,2066.62,110,198
0.525,1e-05,2584,794.075,1255.54,129,244
0.371231,1e-05,4760,415.564,656.354,151,402
0.2625,1e-05,9112,252.077,397.85,155,288
0.185616,1e-05,17816,176.717,279.22,98,157
0.13125,1e-05,35224,81.734,130.968,131,185
0.0928078,1e-05,70040,55.7163,88.0812,122,198
0.065625,1e-05,139672,30.1444,48.0331,171,208
0.0464039,1e-05,278936,16.8891,26.6458,107,187
0.0328125,1e-05,557464,9.21562,14.4765,118,224
0.0232019,1e-05,1114520,3.45412,5.46181,122,288
0.0164062,1e-05,2228632,1.63309,2.60583,157,245
0.011601,1e-05,4456856,0.574836,0.890112,231,605
0.00820312,1e-05,8913304,0.140575,0.225143,183,657
0.00580049,1e-05,17826200,0.00287472,0.00442904,246,428
0.00410156,1e-05,35651992,4.46836e-08,1.25114e-05,117,386
0.00290024,1e-05,71303576,4.46836e-08,1.25114e-05,126,386
0.742462,0.002,792,1305.97,2064.85,38,94
0.525,0.002,1368,977.942,1543.55,47,189
0.371231,0.002,2520,562.452,889.965,61,89
0.2625,0.002,4824,404.943,640.276,41,84
0.185616,0.002,9432,202.816,320.345,73,156
0.13125,0.002,18648,123.003,194.617,146,100
0.0928078,0.002,37080,76.7819,121.408,147,120
0.065625,0.002,73944,55.8173,88.3721,54,105
0.0464039,0.002,147672,24.8149,38.981,39,88
0.0328125,0.002,295128,12.1621,18.9811,45,138
0.0232019,0.002,590040,5.20038,8.13388,73,193
0.0164062,0.002,1179864,2.18751,3.38928,52,123
0.011601,0.002,2359512,1.11638,1.76649,80,167
0.00820312,0.002,4718808,0.144704,0.227683,47,162
0.00580049,0.002,9437400,0.0479636,0.0788469,54,161
0.00410156,0.002,18874584,4.46836e-08,1.25114e-05,74,247
0.00290024,0.002,37748952,4.46836e-08,1.25114e-05,57,168
0.742462,0.03125,440,1952.54,3082.63,19,55
0.525,0.03125,760,1239.1,1960.08,19,53
0.371231,0.03125,1400,743.774,1174.63,17,52
0.2625,0.03125,2680,442.149,696.598,19,55
0.185616,0.03125,5240,321.975,508.619,25,185
0.13125,0.03125,10360,176.61,278.939,21,52
0.0928078,0.03125,20600,114.502,180.253,19,53
0.065625,0.03125,41080,51.2763,82.3931,20,58
0.0464039,0.03125,82040,31.5265,49.8084,19,53
0.0328125,0.03125,163960,16.6049,26.1505,23,60
0.0232019,0.03125,327800,9.37207,14.3815,21,54
0.0164062,0.03125,655480,5.56859,8.80875,20,56
0.011601,0.03125,1310840,1.62758,2.54694,22,56
0.00820312,0.03125,2621560,0.44331,0.678932,21,61
0.00580049,0.03125,5243000,0.000919577,0.00178913,24,81
0.00410156,0.03125,10485880,0.0013304,0.00235215,28,96
0.00290024,0.03125,20971640,4.46836e-08,1.25114e-05,28,94
0.742462,0.125,264,2314.26,3654.24,9,34
0.525,0.125,456,1459.07,2301.79,11,36
0.371231,0.125,840,889.025,1405.92,10,35
0.2625,0.125,1608,596.694,943.897,10,35
0.185616,0.125,3144,400.627,630.39,10,33
0.13125,0.125,6216,223.495,351.859,11,33
0.0928078,0.125,12360,135.684,214.896,10,35
0.065625,0.125,24648,86.6385,135.795,10,34
0.0464039,0.125,49224,48.3935,76.4131,10,34
0.0328125,0.125,98376,25.7556,39.9611,10,36
0.0232019,0.125,196680,12.6284,19.426,9,35
0.0164062,0.125,393288,6.45887,9.76634,10,35
0.011601,0.125,786504,2.34905,3.50336,12,38
0.00820312,0.125,1572936,0.795838,1.27272,18,52
0.00580049,0.125,3145800,0.000542305,0.000925845,8,44
0.00410156,0.125,6291528,0.0363931,0.0582031,25,72
0.00290024,0.125,12582984,4.46836e-08,1.25114e-05,27,92
