epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,262192,21.4285,33.4093,5,508
0.002,0.25,16777264,0.421437,0.65177,10,753
0.05,0.25,32816,112.955,177.489,6,540
0.02,0.125,393288,5.96203,9.03817,8,524
0.002,0.125,25165896,4.46836e-08,1.25114e-05,14,555
0.05,0.125,49224,45.7623,72.1101,9,516
0.02,0.0625,524384,4.43285,7.84498,13,526
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,20,570
0.05,0.0625,65632,54.2781,88.381,13,525
0.02,0.03125,655480,3.62476,5.49878,19,598
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,29,757
0.05,0.03125,82040,33.7101,52.9285,15,548
0.02,0.015625,786576,3.00822,4.6274,20,557
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,32,620
0.05,0.015625,98448,27.7028,44.5345,21,536
0.02,0.0078125,917672,2.2708,3.59318,25,555
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,37,630
0.05,0.0078125,114856,23.7093,38.5069,24,552
0.02,0.00390625,1048768,2.57519,3.95926,30,585
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,40,711
0.05,0.00390625,131264,29.5005,46.9057,28,565
0.02,0.00195312,1179864,1.94566,3.04528,33,588
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,47,675
0.05,0.00195312,147672,23.6603,37.1216,33,574
0.02,0.000976562,1310960,1.99929,3.10934,39,626
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,50,690
0.05,0.000976562,164080,30.1859,47.631,37,586
0.02,0.000488281,1442056,1.8984,2.91916,44,611
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,59,716
0.05,0.000488281,180488,21.1354,33.2677,43,589
0.02,0.000244141,1573152,1.90521,2.95945,52,608
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,67,731
0.05,0.000244141,196896,23.0597,36.4292,49,587
0.02,0.00012207,1704248,1.88423,2.94227,56,635
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,70,763
0.05,0.00012207,213304,18.5431,29.6881,55,605
0.02,6.10352e-05,1835344,1.40055,2.22457,62,635
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,79,765
0.05,6.10352e-05,229712,18.6506,29.9375,60,605
0.02,3.05176e-05,1966440,1.58328,2.488,69,649
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,77,795
0.05,3.05176e-05,246120,17.089,27.2627,63,624
0.02,1.52588e-05,2097536,1.64099,2.56275,75,652
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,83,811
0.05,1.52588e-05,262528,19.8774,31.6594,71,639
0.02,7.62939e-06,2228632,1.44146,2.24905,90,663
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,102,820
0.05,7.62939e-06,278936,18.1925,29.1263,91,646
0.02,3.8147e-06,2359728,1.73953,2.74098,100,662
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,108,845
0.05,3.8147e-06,295344,15.365,24.4564,89,654
0.02,1.90735e-06,2490824,1.42401,2.21312,107,690
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,113,870
0.05,1.90735e-06,311752,16.6591,26.1921,97,668
0.02,0.25,262192,19.8614,29.5109,5,499
0.002,0.25,16777264,1.33521,1.72123,11,517
0.05,0.25,32816,106.546,166.256,6,502
0.02,0.125,393288,6.37656,9.73059,8,533
0.002,0.125,25165896,4.46836e-08,1.25114e-05,15,542
0.05,0.125,49224,53.6443,83.7803,9,515
0.02,0.0625,524384,5.20683,8.1688,12,537
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,18,577
0.05,0.0625,65632,49.0119,76.9238,12,527
0.02,0.03125,655480,3.5705,5.71474,16,542
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,27,588
0.05,0.03125,82040,35.3377,55.3826,15,528
0.02,0.015625,786576,3.57934,5.64292,20,551
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,29,616
0.05,0.015625,98448,65.6452,103.905,18,543
0.02,0.0078125,917672,2.86608,4.411,26,568
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,37,638
0.05,0.0078125,114856,25.5225,40.3395,24,565
0.02,0.00390625,1048768,2.33577,3.59025,31,574
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,44,653
0.05,0.00390625,131264,27.7475,43.2486,29,566
0.02,0.00195312,1179864,2.31163,3.63967,33,582
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,50,668
0.05,0.00195312,147672,23.3398,36.7901,33,575
0.02,0.000976562,1310960,1.82992,3.05969,40,596
