epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,262192,19.9712,29.3129,6,649
0.002,0.25,16777264,4.46836e-08,1.25114e-05,13,681
0.05,0.25,32816,129.466,204.486,6,667
0.02,0.125,393288,5.92704,8.99766,12,663
0.002,0.125,25165896,4.46836e-08,1.25114e-05,20,717
0.05,0.125,49224,59.718,93.4463,9,644
0.02,0.0625,524384,4.72462,7.47822,14,687
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,26,721
0.05,0.0625,65632,50.9345,79.533,12,665
0.02,0.03125,655480,3.50115,5.43232,18,712
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,34,757
0.05,0.03125,82040,38.6337,60.5765,20,660
0.02,0.015625,786576,3.48568,5.34663,24,759
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,45,800
0.05,0.015625,98448,32.6853,50.8437,23,678
0.02,0.0078125,917672,3.13207,4.87704,28,724
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,47,811
0.05,0.0078125,114856,30.9464,48.5369,29,676
0.02,0.00390625,1048768,2.38345,3.60792,39,728
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,50,833
0.05,0.00390625,131264,27.4917,43.0648,33,703
0.02,0.00195312,1179864,2.20989,3.60884,40,748
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,59,868
0.05,0.00195312,147672,23.8505,37.5709,37,721
0.02,0.000976562,1310960,2.3825,3.6421,46,780
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,65,900
0.05,0.000976562,164080,19.945,31.8945,41,713
0.02,0.000488281,1442056,2.16873,3.31375,52,788
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,75,951
0.05,0.000488281,180488,17.6208,28.4084,48,747
0.02,0.000244141,1573152,1.53546,2.43366,57,805
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,80,962
0.05,0.000244141,196896,21.1828,34.1671,55,741
0.02,0.00012207,1704248,1.91081,2.94414,66,846
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,85,992
0.05,0.00012207,213304,19.5907,30.8725,63,753
0.02,6.10352e-05,1835344,1.55463,2.38197,76,839
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,95,1024
0.05,6.10352e-05,229712,19.9418,31.9163,68,756
0.02,3.05176e-05,1966440,1.58697,2.47153,87,860
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,101,1054
0.05,3.05176e-05,246120,19.1456,29.9715,75,767
0.02,1.52588e-05,2097536,1.48439,2.29865,90,867
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,109,1061
0.05,1.52588e-05,262528,17.7937,28.0043,82,784
0.02,7.62939e-06,2228632,1.48872,2.29772,107,880
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,126,1125
0.05,7.62939e-06,278936,16.1989,25.4708,98,793
0.02,3.8147e-06,2359728,1.5468,2.41044,114,898
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,135,1124
0.05,3.8147e-06,295344,17.0944,26.711,103,817
0.02,1.90735e-06,2490824,1.39299,2.14494,125,962
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,149,1145
0.05,1.90735e-06,311752,14.8568,23.5062,114,833
0.02,0.25,262192,19.2557,29.5543,6,640
0.002,0.25,16777264,4.46836e-08,1.25114e-05,11,671
0.05,0.25,32816,108.003,169.075,5,643
0.02,0.125,393288,6.38113,9.69146,10,660
0.002,0.125,25165896,4.46836e-08,1.25114e-05,26,708
0.05,0.125,49224,50.9326,79.7487,9,640
0.02,0.0625,524384,4.78372,7.20844,14,682
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,25,736
0.05,0.0625,65632,44.3979,69.7596,14,694
0.02,0.03125,655480,3.97784,6.15484,19,705
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,37,766
0.05,0.03125,82040,30.8261,49.0242,18,676
0.02,0.015625,786576,4.24524,6.61575,24,706
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,49,779
0.05,0.015625,98448,36.4283,56.7699,23,686
0.02,0.0078125,917672,3.48786,5.39083,30,728
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,44,808
0.05,0.0078125,114856,28.6707,44.9301,28,681
0.02,0.00390625,1048768,3.27682,5.15403,33,753
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,49,848
0.05,0.00390625,131264,29.2035,45.6579,33,714
0.02,0.00195312,1179864,2.12132,3.23886,39,722
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,61,842
0.05,0.00195312,147672,20.7991,33.2338,40,682
0.02,0.000976562,1310960,2.14852,3.28227,43,740
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,63,852
0.05,0.000976562,164080,24.4774,38.367,41,689
0.02,0.000488281,1442056,1.94875,2.98007,53,752
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,76,891
0.05,0.000488281,180488,24.6391,38.5661,48,721
0.02,0.000244141,1573152,1.90717,2.97388,55,761
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,78,902
0.05,0.000244141,196896,21.3773,33.4547,54,718
0.02,0.00012207,1704248,1.76305,2.79742,64,797
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,112,974
0.05,0.00012207,213304,20.286,31.8291,59,852
0.02,6.10352e-05,1835344,1.48101,2.30798,97,839
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,107,1216
0.05,6.10352e-05,229712,21.7944,34.3467,71,783
0.02,3.05176e-05,1966440,1.7036,2.66506,80,917
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,107,1054
0.05,3.05176e-05,246120,17.2255,27.3267,75,803
0.02,1.52588e-05,2097536,1.55494,2.42326,85,871
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,98,1043
0.05,1.52588e-05,262528,18.707,29.3411,74,769
0.02,7.62939e-06,2228632,1.62897,2.54649,98,874
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,125,1042
0.05,7.62939e-06,278936,17.7169,27.6852,94,769
0.02,3.8147e-06,2359728,2.26192,3.54865,114,1007
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,140,1207
0.05,3.8147e-06,295344,16.7933,27.0372,110,880
0.02,1.90735e-06,2490824,1.37952,2.12739,138,1234
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,138,1076
0.05,1.90735e-06,311752,15.9823,25.0976,117,820
0.02,0.25,262192,18.467,29.753,5,668
0.002,0.25,16777264,0.135022,0.149424,12,694
0.05,0.25,32816,108.781,170.379,6,655
0.02,0.125,393288,6.01009,9.34211,9,573
0.002,0.125,25165896,4.46836e-08,1.25114e-05,19,604
0.05,0.125,49224,46.0644,72.3368,10,617
0.02,0.0625,524384,5.52703,8.32451,14,638
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,25,725
0.05,0.0625,65632,73.7683,117.138,12,610
0.02,0.03125,655480,3.18174,5.19699,17,575
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,25,649
0.05,0.03125,82040,35.4139,55.5498,17,570
0.02,0.015625,786576,4.84559,7.50348,21,590
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,32,646
0.05,0.015625,98448,34.2471,53.3753,19,565
0.02,0.0078125,917672,2.96758,4.57756,26,600
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,40,686
0.05,0.0078125,114856,32.8471,51.3375,26,577
0.02,0.00390625,1048768,2.9221,4.45368,31,601
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,47,723
0.05,0.00390625,131264,26.9453,42.0145,31,650
0.02,0.00195312,1179864,2.21128,3.42137,39,719
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,73,828
0.05,0.00195312,147672,19.9568,31.8884,39,763
0.02,0.000976562,1310960,2.23404,3.46947,44,826
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,60,802
0.05,0.000976562,164080,20.9762,33.1021,42,721
0.02,0.000488281,1442056,1.93387,2.97759,51,741
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,68,827
0.05,0.000488281,180488,22.9298,35.9296,51,674
0.02,0.000244141,1573152,1.82971,2.83061,56,688
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,70,817
0.05,0.000244141,196896,22.9804,36.1359,52,659
0.02,0.00012207,1704248,1.90251,2.94759,60,694
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,90,878
0.05,0.00012207,213304,20.959,32.7528,58,783
0.02,6.10352e-05,1835344,1.68271,2.5979,66,756
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,86,934
0.05,6.10352e-05,229712,18.2102,28.7658,81,741
0.02,3.05176e-05,1966440,1.51885,2.37706,77,847
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,101,946
0.05,3.05176e-05,246120,19.4194,30.473,70,679
0.02,1.52588e-05,2097536,1.3667,2.13595,82,743
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,95,915
0.05,1.52588e-05,262528,16.3939,25.8912,75,697
