epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.275,1e-05,2312,39403.4,45,585,0.1
0.275,1e-05,2360,39076.6,43,591,0.01
0.275,1e-05,2424,38992.4,43,588,0.005
0.275,1e-05,3288,36451,43,604,0.001
0.275,1e-05,5512,32872.8,44,644,0.0005
0.275,1e-05,29240,22355.3,43,736,0.0001
0.275,1e-05,41880,20426.1,43,763,5e-05
0.275,1e-05,53832,19375.3,43,774,1e-05
0.1375,1e-05,4488,18617,43,590,0.1
0.1375,1e-05,4536,18430.5,48,744,0.01
0.1375,1e-05,4600,18284.1,46,709,0.005
0.1375,1e-05,5464,17352.8,46,738,0.001
0.1375,1e-05,7688,16030.2,49,755,0.0005
0.1375,1e-05,31416,10855.5,45,769,0.0001
0.1375,1e-05,44056,9970.75,44,784,5e-05
0.1375,1e-05,56008,9355.91,46,787,1e-05
0.06875,1e-05,8840,8608.86,43,597,0.1
0.06875,1e-05,8888,8651.89,43,608,0.01
0.06875,1e-05,8952,8596.75,45,611,0.005
0.06875,1e-05,9816,7991.26,44,802,0.001
0.06875,1e-05,12040,7450.77,44,646,0.0005
0.06875,1e-05,35768,5233.98,45,849,0.0001
0.06875,1e-05,48408,4798.78,52,869,5e-05
0.06875,1e-05,60360,4546.9,54,906,1e-05
0.034375,1e-05,17544,3891.75,48,714,0.1
0.034375,1e-05,17592,3859.15,45,669,0.01
0.034375,1e-05,17656,3863.37,48,694,0.005
0.034375,1e-05,18520,3609.47,52,679,0.001
0.034375,1e-05,20744,3484.34,51,703,0.0005
0.034375,1e-05,44472,2481.7,47,830,0.0001
0.034375,1e-05,57112,2280.81,47,877,5e-05
0.034375,1e-05,69064,2156,47,858,1e-05
0.0171875,1e-05,34952,1687.48,53,659,0.1
0.0171875,1e-05,35000,1702.44,47,704,0.01
0.0171875,1e-05,35064,1700.18,50,692,0.005
0.0171875,1e-05,35928,1657.78,47,755,0.001
0.0171875,1e-05,38152,1570.31,52,731,0.0005
0.0171875,1e-05,61880,1152.45,47,864,0.0001
0.0171875,1e-05,74520,1068.78,47,889,5e-05
0.0171875,1e-05,86472,998.002,46,896,1e-05
0.00859375,1e-05,69768,712.154,49,671,0.1
0.00859375,1e-05,69816,718.002,46,690,0.01
