epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.275,1e-05,2312,39595.5,52,772,0.1
0.275,1e-05,2360,38826.6,48,786,0.01
0.275,1e-05,3288,36227,56,870,0.001
0.275,1e-05,29240,22282.6,50,912,0.0001
0.275,1e-05,53832,19350.6,50,917,1e-05
0.1375,1e-05,4488,18414.8,56,705,0.1
0.1375,1e-05,4536,18514.4,50,725,0.01
0.1375,1e-05,5464,17366.6,53,769,0.001
0.1375,1e-05,31416,10852.6,51,913,0.0001
0.1375,1e-05,56008,9349.99,52,912,1e-05
0.06875,1e-05,8840,8511.36,48,691,0.1
0.06875,1e-05,8888,8492.97,47,699,0.01
0.06875,1e-05,9816,8148.88,49,725,0.001
0.06875,1e-05,35768,5258.26,49,867,0.0001
0.06875,1e-05,60360,4565.3,54,917,1e-05
0.034375,1e-05,17544,3889.09,53,792,0.1
0.034375,1e-05,17592,3866.67,51,738,0.01
0.034375,1e-05,18520,3766.72,52,814,0.001
0.034375,1e-05,44472,2469.23,55,1238,0.0001
0.034375,1e-05,69064,2142.04,55,1101,1e-05
0.0171875,1e-05,34952,1705.06,50,771,0.1
0.0171875,1e-05,35000,1703.86,69,797,0.01
0.0171875,1e-05,35928,1682.05,49,778,0.001
0.0171875,1e-05,61880,1153.53,46,856,0.0001
0.0171875,1e-05,86472,988.485,45,942,1e-05
0.00859375,1e-05,69768,720.246,52,670,0.1
0.00859375,1e-05,69816,714.033,50,675,0.01
0.00859375,1e-05,70744,688.525,46,707,0.001
0.00859375,1e-05,96696,518.958,45,780,0.0001
0.00859375,1e-05,121288,442.43,46,812,1e-05
0.00429688,1e-05,139400,290.294,46,779,0.1
0.00429688,1e-05,139448,288.942,72,731,0.01
0.00429688,1e-05,140376,285.765,54,707,0.001
0.00429688,1e-05,166328,222.557,66,775,0.0001
0.00429688,1e-05,190920,194.074,46,813,1e-05
0.00214844,1e-05,278664,109.537,61,666,0.1
0.00214844,1e-05,278712,109.085,47,680,0.01
0.00214844,1e-05,279640,106.352,47,697,0.001
0.00214844,1e-05,305592,89.9599,46,865,0.0001
0.00214844,1e-05,330184,79.9818,49,932,1e-05
0.00107422,1e-05,557192,38.0206,50,733,0.1
0.00107422,1e-05,557240,37.5519,52,671,0.01
0.00107422,1e-05,558168,38.8695,48,682,0.001
0.00107422,1e-05,584120,32.4739,50,822,0.0001
0.00107422,1e-05,608712,30.3058,47,889,1e-05
0.000537109,1e-05,1114248,12.7096,57,701,0.1
0.000537109,1e-05,1114296,12.4476,49,699,0.01
0.000537109,1e-05,1115224,12.2989,49,693,0.001
0.000537109,1e-05,1141176,11.603,52,861,0.0001
0.000537109,1e-05,1165768,10.1541,51,912,1e-05
0.000268555,1e-05,2228360,3.60788,50,743,0.1
0.000268555,1e-05,2228408,3.53715,54,740,0.01
