epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.02,0.03125,10968,1823.28,38,587,0.001
0.02,0.03125,34488,1082.32,57,726,0.0001
0.02,0.03125,10376,2332.26,36,569,0.005
0.02,0.03125,62280,897.797,61,785,5e-05
0.02,0.03125,111624,756.826,68,820,1e-05
0.002,0.03125,82648,293.136,40,575,0.001
0.002,0.03125,106168,369.384,55,691,0.0001
0.002,0.03125,82056,624.969,38,544,0.005
0.002,0.03125,133960,417.69,61,751,5e-05
0.002,0.03125,183304,446.621,65,808,1e-05
0.05,0.03125,5848,3826.5,39,584,0.001
0.05,0.03125,29368,1955.6,56,704,0.0001
0.05,0.03125,5256,4611.63,37,557,0.005
0.05,0.03125,57160,1480.8,61,743,5e-05
0.05,0.03125,106504,1133.85,65,793,1e-05
0.02,0.015625,13024,1804.97,38,578,0.001
0.02,0.015625,36544,1075.55,55,700,0.0001
0.02,0.015625,12432,2297.69,36,569,0.005
0.02,0.015625,64336,886.138,61,770,5e-05
0.02,0.015625,113680,753.982,66,806,1e-05
0.002,0.015625,99040,291.018,39,581,0.001
0.002,0.015625,122560,367.456,55,695,0.0001
0.002,0.015625,98448,617.271,35,568,0.005
0.002,0.015625,150352,415.669,61,768,5e-05
0.002,0.015625,199696,445.451,79,909,1e-05
0.05,0.015625,6880,3779.83,43,743,0.001
0.05,0.015625,30400,1942.55,66,854,0.0001
0.05,0.015625,6288,4492.9,51,810,0.005
0.05,0.015625,58192,1465.43,67,1105,5e-05
0.05,0.015625,107536,1129.33,71,978,1e-05
0.02,0.0078125,15080,1769.84,43,665,0.001
0.02,0.0078125,38600,1062.58,61,782,0.0001
0.02,0.0078125,14488,2249.38,38,646,0.005
0.02,0.0078125,66392,882.442,64,835,5e-05
0.02,0.0078125,115736,745.694,67,926,1e-05
0.002,0.0078125,115432,282.885,49,610,0.001
0.002,0.0078125,138952,365.6,62,770,0.0001
0.002,0.0078125,114840,607.494,47,673,0.005
0.002,0.0078125,166744,414.903,62,894,5e-05
0.002,0.0078125,216088,444.919,65,837,1e-05
0.05,0.0078125,7912,3693.46,39,585,0.001
0.05,0.0078125,31432,1935.04,54,697,0.0001
