epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.01,0.01,28728,3746.97,5124.38,110,4900
0.03,0.01,14392,7689.28,10515.9,128,6946
0.04,0.01,7224,15716.8,21494.9,95,4820
0.05,0.01,7224,15728.5,21511.2,103,5002
0.06,0.01,7224,15683.3,21449.2,99,4260
0.07,0.01,3640,31982.7,43740.7,102,4721
0.01,0.03,24624,3764.97,5149.21,119,9067
0.03,0.03,12336,7731.27,10573.5,107,4703
0.04,0.03,6192,15776.5,21576.5,90,4556
0.05,0.03,6192,15789.6,21594.3,126,5628
0.06,0.03,6192,15790.5,21595.5,83,4434
0.07,0.03,3120,32043.4,43824.1,95,4101
0.01,0.04,20520,3778.33,5167.52,75,6994
0.03,0.04,10280,7765.8,10620.8,74,3907
0.04,0.04,5160,15813.7,21627.7,81,3846
0.05,0.04,5160,15832.5,21653.1,74,4109
0.06,0.04,5160,15848.7,21675.7,76,6142
0.07,0.04,2600,32213.2,44055.7,86,4826
0.01,0.05,20520,3767.01,5151.98,82,5372
0.03,0.05,10280,7775.48,10633.9,152,4759
0.04,0.05,5160,15807.1,21618.5,81,4052
0.05,0.05,5160,15853.9,21682.6,70,3998
0.06,0.05,5160,15818.5,21634.1,76,3920
0.07,0.05,2600,32200,44037.6,73,4050
0.01,0.06,20520,3783.86,5174.94,85,4450
0.03,0.06,10280,7763.99,10618.2,68,4363
0.04,0.06,5160,15819.2,21635.4,81,4645
0.05,0.06,5160,15808.8,21621.1,68,5488
0.06,0.06,5160,15828.7,21648.1,76,4666
0.07,0.06,2600,32208.3,44049.2,83,4842
0.01,0.07,16416,3823.5,5229.12,65,4819
0.03,0.07,8224,7832.6,10712.1,105,7038
0.04,0.07,4128,15941.3,21801.8,63,4093
0.05,0.07,4128,15913.2,21763.7,59,3856
0.06,0.07,4128,15969.6,21840.9,76,4334
0.07,0.07,2080,32377.2,44281.4,63,4101
