epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.275,1e-07,3264,24766,39121.2,21,795
0.1375,1e-07,6336,11729.1,18523.6,20,862
0.06875,1e-07,12480,5280.28,8341.56,20,779
0.034375,1e-07,24768,2454.44,3876.08,20,764
0.0171875,1e-07,49344,929.975,1484.65,20,812
0.00859375,1e-07,98496,451.297,711.755,21,749
0.00429688,1e-07,196800,170.696,270.198,20,725
0.00214844,1e-07,393408,67.3487,106.165,21,951
0.00107422,1e-07,786624,21.1576,33.7016,23,784
0.000537109,1e-07,1573056,6.92834,11.0187,28,726
0.000268555,1e-07,3145920,1.99097,3.1475,41,1035
0.000134277,1e-07,6291648,0.343188,0.538992,31,1482
6.71387e-05,1e-07,12583104,9.14202e-05,0.000162648,50,1026
3.35693e-05,1e-07,25166016,4.46836e-08,1.25114e-05,67,1031
1.67847e-05,1e-07,50331840,4.46836e-08,1.25114e-05,74,971
8.39233e-06,1e-07,100663488,4.46836e-08,1.25114e-05,93,1148
4.19617e-06,1e-07,201326784,4.46836e-08,1.25114e-05,99,1155
2.09808e-06,1e-07,402653376,4.46836e-08,1.25114e-05,83,1108
0.275,1e-05,2312,25204.7,39803.2,14,681
0.1375,1e-05,4488,11921.5,18828,16,702
0.06875,1e-05,8840,5581.5,8812.05,15,680
0.034375,1e-05,17544,2538.67,4007.47,16,658
0.0171875,1e-05,34952,1113.13,1756.1,15,706
0.00859375,1e-05,69768,459.915,725.407,15,1109
0.00429688,1e-05,139400,193.747,304.926,14,649
0.00214844,1e-05,278664,61.5822,98.2296,16,687
0.00107422,1e-05,557192,24.8006,38.9981,16,696
0.000537109,1e-05,1114248,7.58919,12.0184,35,723
0.000268555,1e-05,2228360,2.20114,3.46188,19,844
0.000134277,1e-05,4456584,0.455082,0.718981,20,872
6.71387e-05,1e-05,8913032,0.00203023,0.00386603,21,917
3.35693e-05,1e-05,17825928,4.46836e-08,1.25114e-05,57,911
1.67847e-05,1e-05,35651720,4.46836e-08,1.25114e-05,51,888
8.39233e-06,1e-05,71303304,4.46836e-08,1.25114e-05,53,976
4.19617e-06,1e-05,142606472,4.46836e-08,1.25114e-05,52,800
2.09808e-06,1e-05,285212808,4.46836e-08,1.25114e-05,61,878
0.275,0.001,1360,25891.5,40891.3,10,694
0.1375,0.001,2640,12230.7,19316.2,10,650
0.06875,0.001,5200,5445.48,8600.36,11,677
0.034375,0.001,10320,2525.16,3987.03,11,604
0.0171875,0.001,20560,1191.54,1880.39,10,602
0.00859375,0.001,41040,515.511,812.42,10,744
0.00429688,0.001,82000,196.91,311.611,9,663
0.00214844,0.001,163920,75.2128,118.884,10,600
0.00107422,0.001,327760,28.1966,44.3275,11,693
0.000537109,0.001,655440,9.47308,14.9474,12,644
0.000268555,0.001,1310800,2.71671,4.26621,12,617
0.000134277,0.001,2621520,0.684576,1.083,12,633
6.71387e-05,0.001,5242960,0.00229889,0.00417881,11,671
3.35693e-05,0.001,10485840,4.46836e-08,1.25114e-05,13,691
1.67847e-05,0.001,20971600,4.46836e-08,1.25114e-05,28,710
8.39233e-06,0.001,41943120,4.46836e-08,1.25114e-05,29,719
4.19617e-06,0.001,83886160,4.46836e-08,1.25114e-05,34,734
