epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.275,1e-05,2312,25357.1,40046.3,49,1668
0.1375,1e-05,4488,11697.4,18474.1,53,796
0.06875,1e-05,8840,5554.49,8771.59,49,680
0.034375,1e-05,17544,2500.88,3948.57,53,671
0.0171875,1e-05,34952,1007.73,1596.04,51,687
0.00859375,1e-05,69768,443.418,701.794,51,683
0.00429688,1e-05,139400,185.943,293.549,49,690
0.00214844,1e-05,278664,71.5668,112.603,51,708
0.00107422,1e-05,557192,24.7342,39.0758,53,718
0.000537109,1e-05,1114248,8.11988,12.7948,56,727
0.000268555,1e-05,2228360,2.32693,3.65999,55,763
0.000134277,1e-05,4456584,0.474813,0.748483,58,805
6.71387e-05,1e-05,8913032,8.59774e-05,0.000187671,66,860
3.35693e-05,1e-05,17825928,4.46836e-08,1.25114e-05,87,860
1.67847e-05,1e-05,35651720,4.46836e-08,1.25114e-05,94,873
8.39233e-06,1e-05,71303304,4.46836e-08,1.25114e-05,98,893
4.19617e-06,1e-05,142606472,4.46836e-08,1.25114e-05,99,1051
2.09808e-06,1e-05,285212808,4.46836e-08,1.25114e-05,103,905
0.275,0.001,1360,25957.7,40989,44,639
0.1375,0.001,2640,11821.1,18672.5,45,646
0.06875,0.001,5200,5721.27,9030.57,46,645
0.034375,0.001,10320,2506.96,3958.77,45,642
0.0171875,0.001,20560,1161.96,1834.83,49,664
0.00859375,0.001,41040,512.938,808.52,45,816
0.00429688,0.001,82000,207.971,329.09,46,790
0.00214844,0.001,163920,73.2574,116.193,61,820
0.00107422,0.001,327760,29.1951,45.7142,71,782
0.000537109,0.001,655440,9.67505,15.1366,50,683
0.000268555,0.001,1310800,2.86082,4.48358,49,751
0.000134277,0.001,2621520,0.613894,0.969385,51,719
6.71387e-05,0.001,5242960,0.00824453,0.0139627,52,728
3.35693e-05,0.001,10485840,4.46836e-08,1.25114e-05,62,750
1.67847e-05,0.001,20971600,4.46836e-08,1.25114e-05,71,757
8.39233e-06,0.001,41943120,4.46836e-08,1.25114e-05,74,761
4.19617e-06,0.001,83886160,4.46836e-08,1.25114e-05,76,772
2.09808e-06,0.001,167772240,4.46836e-08,1.25114e-05,77,761
0.275,0.03125,680,25884.8,40881.4,41,612
0.1375,0.03125,1320,12584.3,19871.7,40,611
0.06875,0.03125,2600,6029.56,9521.36,40,627
0.034375,0.03125,5160,2802.6,4428.04,41,604
0.0171875,0.03125,10280,1278.27,2017.73,41,608
0.00859375,0.03125,20520,508.796,812.646,39,615
0.00429688,0.03125,41000,239.839,378.091,41,627
0.00214844,0.03125,81960,91.3064,144.195,40,612
0.00107422,0.03125,163880,36.1695,56.8032,41,619
0.000537109,0.03125,327720,12.9378,20.1024,42,626
0.000268555,0.03125,655400,3.67021,5.74568,43,649
0.000134277,0.03125,1310760,0.861448,1.34869,44,660
6.71387e-05,0.03125,2621480,0.0294512,0.0535739,44,655
3.35693e-05,0.03125,5242920,4.46836e-08,1.25114e-05,48,681
1.67847e-05,0.03125,10485800,4.46836e-08,1.25114e-05,56,688
8.39233e-06,0.03125,20971560,4.46836e-08,1.25114e-05,59,689
4.19617e-06,0.03125,41943080,4.46836e-08,1.25114e-05,56,681
2.09808e-06,0.03125,83886120,4.46836e-08,1.25114e-05,65,683
0.275,0.125,408,27319.9,43154.3,39,603
0.1375,0.125,792,13270.7,20955.3,39,601
0.06875,0.125,1560,6305.41,9956.79,39,613
0.034375,0.125,3096,2959.33,4671.49,41,597
0.0171875,0.125,6168,1385.82,2185.72,40,605
0.00859375,0.125,12312,557.146,883.426,37,607
0.00429688,0.125,24600,281.468,442.858,41,603
0.00214844,0.125,49176,118.344,185.684,39,599
0.00107422,0.125,98328,34.4854,59.1665,39,605
0.000537109,0.125,196632,14.8596,23.73,38,605
0.000268555,0.125,393240,5.37844,8.60789,41,615
0.000134277,0.125,786456,2.35373,3.84964,38,621
6.71387e-05,0.125,1572888,0.148413,0.237942,41,627
3.35693e-05,0.125,3145752,4.46836e-08,1.25114e-05,43,630
1.67847e-05,0.125,6291480,4.46836e-08,1.25114e-05,48,639
8.39233e-06,0.125,12582936,4.46836e-08,1.25114e-05,54,708
4.19617e-06,0.125,25165848,4.46836e-08,1.25114e-05,62,780
2.09808e-06,0.125,50331672,4.46836e-08,1.25114e-05,69,754
0.275,1e-05,2312,22174.8,35136.9,54,751
0.1375,1e-05,4488,11892,18782.9,59,721
0.06875,1e-05,8840,5433.03,8579.37,49,769
0.034375,1e-05,17544,2506.58,3957.26,51,684
0.0171875,1e-05,34952,1056.34,1670.37,52,710
0.00859375,1e-05,69768,425.605,673.42,59,690
0.00429688,1e-05,139400,187.828,296.397,51,712
0.00214844,1e-05,278664,70.8429,111.685,73,711
0.00107422,1e-05,557192,23.77,37.7244,53,727
0.000537109,1e-05,1114248,8.21175,12.8694,57,757
0.000268555,1e-05,2228360,2.22738,3.4952,58,767
0.000134277,1e-05,4456584,0.412841,0.664269,60,809
6.71387e-05,1e-05,8913032,0.000320081,0.000625571,75,861
3.35693e-05,1e-05,17825928,4.46836e-08,1.25114e-05,93,859
1.67847e-05,1e-05,35651720,4.46836e-08,1.25114e-05,96,884
8.39233e-06,1e-05,71303304,4.46836e-08,1.25114e-05,97,888
4.19617e-06,1e-05,142606472,4.46836e-08,1.25114e-05,104,897
2.09808e-06,1e-05,285212808,4.46836e-08,1.25114e-05,101,913
0.275,0.001,1360,25516.3,40299.1,44,651
0.1375,0.001,2640,12134.9,19168.1,44,644
0.06875,0.001,5200,4471.75,7156.37,43,651
0.034375,0.001,10320,2565.73,4049.17,45,645
0.0171875,0.001,20560,1119.9,1771.2,45,655
0.00859375,0.001,41040,474.61,751.653,52,651
0.00429688,0.001,82000,198.309,316.745,48,653
0.00214844,0.001,163920,76.1381,121.548,47,661
0.00107422,0.001,327760,28.6826,45.1875,47,674
0.000537109,0.001,655440,9.58025,14.9949,47,672
0.000268555,0.001,1310800,2.77907,4.36209,50,698
0.000134277,0.001,2621520,0.605609,0.965781,51,720
6.71387e-05,0.001,5242960,0.00608725,0.0104595,57,754
3.35693e-05,0.001,10485840,4.46836e-08,1.25114e-05,64,770
1.67847e-05,0.001,20971600,4.46836e-08,1.25114e-05,72,759
8.39233e-06,0.001,41943120,4.46836e-08,1.25114e-05,75,776
4.19617e-06,0.001,83886160,4.46836e-08,1.25114e-05,87,979
2.09808e-06,0.001,167772240,4.46836e-08,1.25114e-05,90,975
0.275,0.03125,680,26218.1,41406.7,59,709
0.1375,0.03125,1320,12826.2,20253.1,42,793
0.06875,0.03125,2600,5497.69,8694.22,41,605
0.034375,0.03125,5160,2822.83,4455.19,52,757
0.0171875,0.03125,10280,1257.82,1984.89,56,684
0.00859375,0.03125,20520,571.063,900.698,74,717
0.00429688,0.03125,41000,244.303,384.446,42,690
0.00214844,0.03125,81960,80.457,131.013,77,920
0.00107422,0.03125,163880,37.0054,58.7725,46,689
0.000537109,0.03125,327720,12.5153,19.533,42,633
0.000268555,0.03125,655400,3.79272,5.90859,44,639
0.000134277,0.03125,1310760,0.955548,1.4984,57,677
6.71387e-05,0.03125,2621480,0.049979,0.0860535,45,775
3.35693e-05,0.03125,5242920,4.46836e-08,1.25114e-05,47,759
1.67847e-05,0.03125,10485800,4.46836e-08,1.25114e-05,53,825
8.39233e-06,0.03125,20971560,4.46836e-08,1.25114e-05,53,771
4.19617e-06,0.03125,41943080,4.46836e-08,1.25114e-05,59,819
2.09808e-06,0.03125,83886120,4.46836e-08,1.25114e-05,104,840
0.275,0.125,408,27424,43308.6,39,606
0.1375,0.125,792,13076.6,20645.8,39,604
0.06875,0.125,1560,6350.41,10026.2,39,597
0.034375,0.125,3096,2982.42,4706.97,39,597
0.0171875,0.125,6168,1398.11,2205.54,40,608
0.00859375,0.125,12312,635.69,1002.08,39,605
0.00429688,0.125,24600,279.875,441.032,41,610
0.00214844,0.125,49176,117.264,183.8,39,623
0.00107422,0.125,98328,46.4583,72.7998,43,681
0.000537109,0.125,196632,16.3797,25.5985,45,633
0.000268555,0.125,393240,5.38796,8.3371,41,628
0.000134277,0.125,786456,1.30233,2.10273,42,630
6.71387e-05,0.125,1572888,0.143947,0.225969,42,709
3.35693e-05,0.125,3145752,0.000756743,0.00133872,46,633
1.67847e-05,0.125,6291480,4.46836e-08,1.25114e-05,46,646
8.39233e-06,0.125,12582936,4.46836e-08,1.25114e-05,46,643
4.19617e-06,0.125,25165848,4.46836e-08,1.25114e-05,54,650
2.09808e-06,0.125,50331672,4.46836e-08,1.25114e-05,54,676
