epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.275,1e-05,2312,25130.1,39688.4,26,144
0.1375,1e-05,4488,11842.2,18702.6,15,122
0.06875,1e-05,8840,5565.69,8789.28,17,117
0.034375,1e-05,17544,2557.11,4036.82,19,142
0.0171875,1e-05,34952,847.488,1400.14,14,106
0.00859375,1e-05,69768,476.594,751.979,21,277
0.00429688,1e-05,139400,182.633,290.884,21,115
0.00214844,1e-05,278664,72.0664,113.559,20,125
0.00107422,1e-05,557192,25.0073,39.4043,27,177
0.000537109,1e-05,1114248,7.57321,12.0449,33,219
0.000268555,1e-05,2228360,1.99507,3.14267,27,199
0.000134277,1e-05,4456584,0.415694,0.649543,22,199
6.71387e-05,1e-05,8913032,0.000183768,0.000325297,31,204
3.35693e-05,1e-05,17825928,4.46836e-08,1.25114e-05,141,239
1.67847e-05,1e-05,35651720,4.46836e-08,1.25114e-05,62,232
8.39233e-06,1e-05,71303304,4.46836e-08,1.25114e-05,103,463
4.19617e-06,1e-05,142606472,4.46836e-08,1.25114e-05,136,302
2.09808e-06,1e-05,285212808,4.46836e-08,1.25114e-05,136,524
0.275,0.002,1224,25664.1,40527.7,11,83
0.1375,0.002,2376,12301.9,19426.2,14,92
0.06875,0.002,4680,5751.73,9082.33,11,225
0.034375,0.002,9288,2677.63,4225.65,11,88
0.0171875,0.002,18504,1184.29,1868.1,10,68
0.00859375,0.002,36936,515.545,812.857,11,69
0.00429688,0.002,73800,179.356,286.82,12,63
0.00214844,0.002,147528,84.6472,132.952,11,259
0.00107422,0.002,294984,30.2038,47.3085,14,68
0.000537109,0.002,589896,9.45918,15.0616,11,60
0.000268555,0.002,1179720,2.83488,4.44866,12,67
0.000134277,0.002,2359368,0.59802,0.949141,14,77
6.71387e-05,0.002,4718664,0.00460243,0.00847023,16,87
3.35693e-05,0.002,9437256,4.46836e-08,1.25114e-05,23,97
1.67847e-05,0.002,18874440,4.46836e-08,1.25114e-05,30,125
8.39233e-06,0.002,37748808,4.46836e-08,1.25114e-05,39,135
4.19617e-06,0.002,75497544,4.46836e-08,1.25114e-05,38,160
2.09808e-06,0.002,150995016,4.46836e-08,1.25114e-05,64,236
0.275,0.03125,680,26256.2,41468.6,9,63
0.1375,0.03125,1320,12434.4,19639.2,7,50
0.06875,0.03125,2600,6059.49,9566.58,8,43
0.034375,0.03125,5160,2860.89,4514.6,129,66
0.0171875,0.03125,10280,1289.61,2034.86,7,49
0.00859375,0.03125,20520,574.581,905.403,6,64
0.00429688,0.03125,41000,247.762,389.804,10,57
0.00214844,0.03125,81960,89.3076,141.718,15,75
0.00107422,0.03125,163880,37.7748,59.0348,8,45
0.000537109,0.03125,327720,12.5782,19.6508,10,59
0.000268555,0.03125,655400,4.2434,6.62298,9,54
0.000134277,0.03125,1310760,1.08098,1.67976,8,51
6.71387e-05,0.03125,2621480,0.0766861,0.124026,7,63
3.35693e-05,0.03125,5242920,4.46836e-08,1.25114e-05,17,89
1.67847e-05,0.03125,10485800,4.46836e-08,1.25114e-05,28,105
8.39233e-06,0.03125,20971560,4.46836e-08,1.25114e-05,17,75
4.19617e-06,0.03125,41943080,4.46836e-08,1.25114e-05,23,88
2.09808e-06,0.03125,83886120,4.46836e-08,1.25114e-05,26,157
0.275,0.125,408,27078.4,42767.3,4,31
0.1375,0.125,792,13149.9,20765.2,5,23
0.06875,0.125,1560,6306.42,9960.8,5,24
0.034375,0.125,3096,3000.87,4736.82,6,24
0.0171875,0.125,6168,1396.36,2202.07,5,27
0.00859375,0.125,12312,633.588,999.048,5,26
0.00429688,0.125,24600,228.419,372.716,6,29
0.00214844,0.125,49176,116.684,183.209,5,26
0.00107422,0.125,98328,43.8595,69.5879,5,25
0.000537109,0.125,196632,17.4257,27.1118,5,30
0.000268555,0.125,393240,4.87637,7.7635,4,27
0.000134277,0.125,786456,1.32034,2.05945,6,33
6.71387e-05,0.125,1572888,0.493433,0.755614,7,58
3.35693e-05,0.125,3145752,4.46836e-08,1.25114e-05,10,67
1.67847e-05,0.125,6291480,4.46836e-08,1.25114e-05,14,69
8.39233e-06,0.125,12582936,4.46836e-08,1.25114e-05,21,144
4.19617e-06,0.125,25165848,4.46836e-08,1.25114e-05,24,142
2.09808e-06,0.125,50331672,4.46836e-08,1.25114e-05,24,71
