epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,4112,1509.25,2381.9,3,537
0.002,0.25,32784,140.096,219.654,3,818
0.05,0.25,2064,3145.67,4967.59,3,553
0.02,0.125,6168,1392,2197.15,4,534
0.002,0.125,49176,101.52,161.991,5,533
0.05,0.125,3096,2584.53,4111.86,4,536
0.02,0.0625,8224,1117.23,1807.9,5,587
0.002,0.0625,65568,100.549,158.508,7,682
0.05,0.0625,4128,2784.61,4397.98,5,726
0.02,0.03125,10280,1289.69,2035.21,6,715
0.002,0.03125,81960,83.0629,133.169,6,656
0.05,0.03125,5160,2743.92,4334.67,7,592
0.02,0.015625,12336,1239.29,1955.89,6,582
0.002,0.015625,98352,94.522,148.317,7,527
0.05,0.015625,6192,2672.02,4221.42,6,519
0.02,0.0078125,14392,1221.18,1926.74,8,528
0.002,0.0078125,114744,90.8436,142.612,8,526
0.05,0.0078125,7224,2745.12,4333.1,7,532
0.02,0.00390625,16448,1209.68,1908.29,8,535
0.002,0.00390625,131136,89.5696,140.835,9,532
0.05,0.00390625,8256,2668.82,4213.75,9,533
0.02,0.00195312,18504,1194.89,1885.04,8,536
0.002,0.00195312,147528,75.4954,119.693,9,536
0.05,0.00195312,9288,2697.67,4258.47,10,534
0.02,0.000976562,20560,1191.96,1880.79,10,540
0.002,0.000976562,163920,82.7058,129.928,11,541
0.05,0.000976562,10320,2497.55,3947.75,9,531
0.02,0.000488281,22616,1167.39,1842.14,11,542
0.002,0.000488281,180312,81.6115,128.056,12,556
0.05,0.000488281,11352,2610.31,4120.65,11,548
0.02,0.000244141,24672,1138.83,1796.5,11,552
0.002,0.000244141,196704,79.2338,124.452,12,548
0.05,0.000244141,12384,2492.97,3936.81,12,554
0.02,0.00012207,26728,1111.15,1755.6,12,555
0.002,0.00012207,213096,75.8305,119.407,12,571
0.05,0.00012207,13416,2562.2,4044.89,12,559
0.02,6.10352e-05,28784,1110.14,1752.93,12,560
0.002,6.10352e-05,229488,73.326,115.498,13,563
0.05,6.10352e-05,14448,2561.57,4044.68,12,562
0.02,3.05176e-05,30840,919.043,1468.2,13,565
0.002,3.05176e-05,245880,74.7749,117.623,14,580
0.05,3.05176e-05,15480,2584.38,4079.61,14,569
0.02,1.52588e-05,32896,977.867,1582.83,14,568
0.002,1.52588e-05,262272,66.5284,105.435,14,577
0.05,1.52588e-05,16512,2491.34,3934.58,14,567
0.02,7.62939e-06,34952,1135.38,1790.95,14,568
0.002,7.62939e-06,278664,70.6497,111.277,15,584
0.05,7.62939e-06,17544,2493.32,3936.41,14,571
0.02,3.8147e-06,37008,1117.71,1763.39,14,574
0.002,3.8147e-06,295056,73.061,114.816,14,594
0.05,3.8147e-06,18576,2189.55,3473.19,13,589
0.02,1.90735e-06,39064,1101.32,1738.17,16,589
0.002,1.90735e-06,311448,69.2888,109.275,15,594
0.05,1.90735e-06,19608,2512.37,3966.06,14,629
0.02,0.25,4112,1457.43,2303.76,3,503
0.002,0.25,32784,117.507,188.795,3,502
0.05,0.25,2064,3156.74,4983.38,4,503
0.02,0.125,6168,1392.25,2196.36,4,536
0.002,0.125,49176,113.41,178.827,4,506
0.05,0.125,3096,2967.6,4683.74,4,508
0.02,0.0625,8224,1310.41,2069.4,5,513
0.002,0.0625,65568,102.448,161.073,5,513
0.05,0.0625,4128,2860.48,4518.69,5,505
0.02,0.03125,10280,1288.39,2033.11,6,509
0.002,0.03125,81960,98.1841,154.315,7,512
0.05,0.03125,5160,2529.37,4015.46,5,547
0.02,0.015625,12336,1256.14,1982.5,7,517
0.002,0.015625,98352,89.8782,141.66,6,527
0.05,0.015625,6192,2756.68,4352.97,6,519
0.02,0.0078125,14392,1240.51,1956.25,7,523
0.002,0.0078125,114744,89.921,141.359,7,532
0.05,0.0078125,7224,2741.3,4326.86,7,531
0.02,0.00390625,16448,1182.16,1867.03,8,542
0.002,0.00390625,131136,85.561,134.479,8,544
0.05,0.00390625,8256,2675.94,4226.16,8,525
0.02,0.00195312,18504,1196.77,1887.92,9,533
0.002,0.00195312,147528,85.2174,133.948,10,537
0.05,0.00195312,9288,2683.08,4235.35,9,532
0.02,0.000976562,20560,1198.95,1891.7,10,549
0.002,0.000976562,163920,70.5658,113.079,10,561
0.05,0.000976562,10320,2603.67,4112.81,10,543
0.02,0.000488281,22616,1157.64,1827.06,11,559
0.002,0.000488281,180312,73.9503,117.063,11,560
0.05,0.000488281,11352,2513.22,3969.1,11,540
0.02,0.000244141,24672,905.308,1458.47,11,548
0.002,0.000244141,196704,70.8245,112.171,11,560
0.05,0.000244141,12384,2602.86,4109.67,12,551
0.02,0.00012207,26728,1164.61,1837.37,12,559
0.002,0.00012207,213096,73.9164,117.276,13,585
0.05,0.00012207,13416,2595.45,4096.65,12,557
0.02,6.10352e-05,28784,988.508,1581.97,12,572
0.002,6.10352e-05,229488,64.1915,103.198,11,570
0.05,6.10352e-05,14448,2574.75,4064.44,14,559
0.02,3.05176e-05,30840,1108.12,1748.94,14,594
0.002,3.05176e-05,245880,74.9398,117.73,14,591
0.05,3.05176e-05,15480,2251.03,3560.29,13,574
0.02,1.52588e-05,32896,1105.69,1745.25,14,574
0.002,1.52588e-05,262272,61.5304,99.2663,15,601
0.05,1.52588e-05,16512,2524.73,3986.76,14,576
0.02,7.62939e-06,34952,1114.44,1757.94,14,585
0.002,7.62939e-06,278664,68.673,108.995,18,618
0.05,7.62939e-06,17544,2516.48,3972.6,15,694
0.02,3.8147e-06,37008,1103.75,1741.46,17,619
0.002,3.8147e-06,295056,71.3853,112.417,17,602
0.05,3.8147e-06,18576,2317.99,3663.94,14,590
0.02,1.90735e-06,39064,1116.71,1761.72,16,597
0.002,1.90735e-06,311448,69.2975,109.169,16,622
0.05,1.90735e-06,19608,2213.17,3507.16,16,583
0.02,0.25,4112,1494.68,2358.65,4,514
0.002,0.25,32784,157.493,248.962,3,517
0.05,0.25,2064,2901.88,4592.32,3,501
0.02,0.125,6168,1392.51,2196.67,4,513
0.002,0.125,49176,112.136,176.929,4,501
0.05,0.125,3096,2976.06,4697.59,4,512
0.02,0.0625,8224,1342.31,2117.86,5,516
0.002,0.0625,65568,102.261,161.084,5,511
0.05,0.0625,4128,2893.57,4567.15,5,576
0.02,0.03125,10280,1301.73,2053.21,6,509
0.002,0.03125,81960,100.573,157.859,6,522
0.05,0.03125,5160,2728.88,4316.93,6,522
0.02,0.015625,12336,1215.41,1918.68,6,519
0.002,0.015625,98352,88.7594,139.835,6,522
0.05,0.015625,6192,2732.64,4313.58,6,525
0.02,0.0078125,14392,1224.55,1932.15,8,520
0.002,0.0078125,114744,79.263,125.857,8,535
0.05,0.0078125,7224,2616.17,4133.87,7,533
0.02,0.00390625,16448,1200.06,1895.89,8,530
0.002,0.00390625,131136,83.0087,130.703,8,525
0.05,0.00390625,8256,2672.46,4219.65,8,529
0.02,0.00195312,18504,1180.11,1862.3,9,531
0.002,0.00195312,147528,84.918,133.302,9,546
0.05,0.00195312,9288,1921.89,3084.65,8,523
0.02,0.000976562,20560,1167.17,1841.76,10,541
0.002,0.000976562,163920,77.4567,122.219,10,550
0.05,0.000976562,10320,2669.32,4213.19,11,568
0.02,0.000488281,22616,1162.98,1834.51,11,537
0.002,0.000488281,180312,80.1345,125.961,11,548
0.05,0.000488281,11352,2633.1,4156.64,10,555
0.02,0.000244141,24672,1054.8,1671.17,10,543
0.002,0.000244141,196704,72.6226,116.257,13,556
0.05,0.000244141,12384,2570.76,4059.76,11,554
0.02,0.00012207,26728,1105.01,1744.89,12,557
0.002,0.00012207,213096,68.3147,108.946,12,572
0.05,0.00012207,13416,2409.58,3810.8,13,610
0.02,6.10352e-05,28784,1123.52,1772.8,13,600
0.002,6.10352e-05,229488,74.8323,117.788,13,567
0.05,6.10352e-05,14448,2506.84,3958.55,13,565
0.02,3.05176e-05,30840,1091.72,1724.37,14,572
0.002,3.05176e-05,245880,72.7234,114.888,13,576
0.05,3.05176e-05,15480,2570.91,4058.62,13,570
0.02,1.52588e-05,32896,1136.22,1792.81,15,577
0.002,1.52588e-05,262272,70.0453,110.504,13,578
0.05,1.52588e-05,16512,2518.66,3977.24,14,564
0.02,7.62939e-06,34952,1062.73,1679.62,13,594
0.002,7.62939e-06,278664,63.3265,101.538,14,595
0.05,7.62939e-06,17544,2435.38,3851.11,15,569
0.02,3.8147e-06,37008,1071.3,1692.31,15,583
0.002,3.8147e-06,295056,67.5856,107.494,18,599
0.05,3.8147e-06,18576,2530.83,3994.57,14,581
0.02,1.90735e-06,39064,1061.33,1674.98,15,594
0.002,1.90735e-06,311448,65.7176,104.384,15,606
0.05,1.90735e-06,19608,2512.19,3965.9,16,584
0.02,0.25,4112,1488.51,2349.26,3,499
0.002,0.25,32784,141.397,221.677,3,501
0.05,0.25,2064,3193.98,5041.37,4,503
0.02,0.125,6168,1397.43,2203.68,4,508
0.002,0.125,49176,118.976,186.463,4,510
0.05,0.125,3096,2962.8,4677.02,4,513
0.02,0.0625,8224,1321.49,2084.64,5,508
0.002,0.0625,65568,106.664,167.374,5,527
0.05,0.0625,4128,2855.59,4506.63,5,508
0.02,0.03125,10280,1287.02,2031.28,6,512
0.002,0.03125,81960,100.782,157.999,6,516
0.05,0.03125,5160,2803.7,4424.95,6,514
0.02,0.015625,12336,1221.14,1928.37,6,519
0.002,0.015625,98352,94.6657,148.556,6,526
0.05,0.015625,6192,2739,4323.16,6,524
0.02,0.0078125,14392,1221.47,1929.08,7,524
0.002,0.0078125,114744,81.9173,129.43,7,526
0.05,0.0078125,7224,2740.02,4325.42,9,537
0.02,0.00390625,16448,1141.04,1805.98,8,534
0.002,0.00390625,131136,79.6166,126.857,8,536
0.05,0.00390625,8256,2685.55,4239.6,8,533
0.02,0.00195312,18504,1202.07,1896.62,9,528
0.002,0.00195312,147528,81.0519,127.544,9,551
0.05,0.00195312,9288,2680.22,4231.41,10,535
0.02,0.000976562,20560,1186.31,1872.3,10,538
0.002,0.000976562,163920,74.2406,117.369,12,661
0.05,0.000976562,10320,2646.75,4177.93,11,638
0.02,0.000488281,22616,1173.36,1852.24,11,547
0.002,0.000488281,180312,75.4065,119.052,10,560
0.05,0.000488281,11352,2601.97,4107.9,11,551
0.02,0.000244141,24672,1149.48,1814.3,11,551
0.002,0.000244141,196704,76.6993,120.721,12,560
0.05,0.000244141,12384,2594.51,4095.19,12,547
0.02,0.00012207,26728,1153.3,1820.34,12,574
0.002,0.00012207,213096,77.6998,122.066,14,564
0.05,0.00012207,13416,1954.31,3134.39,10,550
0.02,6.10352e-05,28784,1146.86,1809.9,14,567
0.002,6.10352e-05,229488,77.1919,121.197,14,576
0.05,6.10352e-05,14448,2575.6,4065.08,12,565
0.02,3.05176e-05,30840,1133.55,1788.92,13,567
0.002,3.05176e-05,245880,73.9713,116.305,14,592
0.05,3.05176e-05,15480,2537.59,4004.78,12,563
0.02,1.52588e-05,32896,1087.68,1717.48,13,577
0.002,1.52588e-05,262272,74.8981,117.933,14,612
0.05,1.52588e-05,16512,2447.57,3869.25,13,568
0.02,7.62939e-06,34952,1062.56,1678.14,13,576
0.002,7.62939e-06,278664,68.1108,107.812,15,592
0.05,7.62939e-06,17544,2535.55,4002.97,14,578
0.02,3.8147e-06,37008,1122.94,1771.65,15,587
0.002,3.8147e-06,295056,67.8513,107.539,15,599
0.05,3.8147e-06,18576,2529.06,3992.33,14,582
0.02,1.90735e-06,39064,1097.95,1733.43,15,592
0.002,1.90735e-06,311448,63.9004,101.912,17,604
0.05,1.90735e-06,19608,2506.65,3956.67,16,582
0.02,0.25,4112,1504.91,2375.53,3,507
0.002,0.25,32784,141.955,222.595,3,508
0.05,0.25,2064,2862.13,4526.89,3,517
0.02,0.125,6168,1400.37,2209.31,4,507
0.002,0.125,49176,109.713,178.159,4,516
0.05,0.125,3096,2983.57,4710,4,525
0.02,0.0625,8224,1310.79,2067.95,5,524
0.002,0.0625,65568,103.693,163.204,5,518
0.05,0.0625,4128,2859.34,4513.62,5,514
0.02,0.03125,10280,1281.33,2021.55,7,517
0.002,0.03125,81960,95.4713,150.312,6,513
0.05,0.03125,5160,2838.98,4482.32,6,513
0.02,0.015625,12336,1245.36,1965.03,6,520
0.002,0.015625,98352,90.1088,141.742,6,520
0.05,0.015625,6192,2783.44,4393.98,6,523
0.02,0.0078125,14392,1234.99,1948.47,7,541
0.002,0.0078125,114744,81.8462,129.516,10,534
0.05,0.0078125,7224,2692.93,4254.12,7,520
0.02,0.00390625,16448,1210.51,1910.59,8,524
0.002,0.00390625,131136,88.6098,139.032,9,534
0.05,0.00390625,8256,2701.78,4264.73,8,535
0.02,0.00195312,18504,1182.64,1866.54,9,544
0.002,0.00195312,147528,82.9868,130.428,10,543
0.05,0.00195312,9288,2622.19,4141.28,9,543
0.02,0.000976562,20560,1181.42,1864.62,13,551
0.002,0.000976562,163920,70.9991,113.018,11,554
0.05,0.000976562,10320,2630.44,4153.25,10,542
0.02,0.000488281,22616,1170.06,1846.05,10,555
0.002,0.000488281,180312,71.7351,114.254,10,554
0.05,0.000488281,11352,2642.23,4171.26,10,538
0.02,0.000244141,24672,1156.39,1824.99,12,543
0.002,0.000244141,196704,74.7994,117.954,12,564
0.05,0.000244141,12384,2252.59,3579.49,10,549
0.02,0.00012207,26728,1131.53,1786.69,12,566
0.002,0.00012207,213096,76.5721,120.366,12,577
0.05,0.00012207,13416,2607.72,4115.46,12,554
