epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.25,4112,1512.76,2384.96,3,17
0.002,0.25,32784,139.893,219.567,4,17
0.05,0.25,2064,2930.23,4636.49,4,17
0.02,0.125,6168,1405.35,2214.77,5,22
0.002,0.125,49176,118.104,185.529,5,25
0.05,0.125,3096,2949.96,4656.25,6,31
0.02,0.0625,8224,1147.06,1827.23,5,36
0.002,0.0625,65568,104.74,164.684,5,34
0.05,0.0625,4128,2864.26,4522.28,5,27
0.02,0.03125,10280,1296.81,2044.91,6,30
0.002,0.03125,81960,97.4208,152.941,5,34
0.05,0.03125,5160,2827.76,4463.23,6,31
0.02,0.015625,12336,1248.81,1970.94,7,37
0.002,0.015625,98352,75.2047,122.574,6,35
0.05,0.015625,6192,2765.27,4365.37,7,35
0.02,0.0078125,14392,1237.19,1951.7,7,40
0.002,0.0078125,114744,84.1887,132.676,8,46
0.05,0.0078125,7224,2745.53,4332.06,7,41
0.02,0.00390625,16448,1213.78,1915.36,9,48
0.002,0.00390625,131136,82.8196,130.423,9,44
0.05,0.00390625,8256,2184.6,3477.86,8,44
0.02,0.00195312,18504,1188.09,1875.29,9,51
0.002,0.00195312,147528,73.2037,117.505,12,52
0.05,0.00195312,9288,2647.7,4179.7,10,49
0.02,0.000976562,20560,1187.35,1873.76,10,57
0.002,0.000976562,163920,83.8419,131.505,12,58
0.05,0.000976562,10320,2606.85,4116.67,10,57
0.02,0.000488281,22616,1180.27,1861.07,12,65
0.002,0.000488281,180312,71.9631,114.308,12,60
0.05,0.000488281,11352,2634.1,4157.62,11,57
0.02,0.000244141,24672,1165.53,1839.04,12,68
0.002,0.000244141,196704,71.951,113.726,12,64
0.05,0.000244141,12384,2592.78,4092.8,10,63
0.02,0.00012207,26728,1149.7,1814.22,12,69
0.002,0.00012207,213096,76.1816,119.909,13,69
0.05,0.00012207,13416,2593.64,4092.82,12,66
0.02,6.10352e-05,28784,1120.11,1767.9,12,72
