epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.002,18504,1212.2,1911.82,12,1081
0.275,0.002,1224,25551.8,40360.1,16,654
0.1375,0.002,2376,12224.6,19306.6,10,663
0.06875,0.002,4680,5835.2,9212.42,10,743
0.034375,0.002,9288,2653.68,4189.16,10,717
0.0171875,0.002,18504,1185.57,1871.46,10,725
0.00859375,0.002,36936,441.7,702.154,10,693
0.00429688,0.002,73800,216.44,340.78,10,707
0.00214844,0.002,147528,77.8586,122.983,10,737
0.00107422,0.002,294984,28.7986,45.6029,10,665
0.000537109,0.002,589896,9.88774,15.5031,10,689
0.000268555,0.002,1179720,3.01253,4.72466,12,1133
0.000134277,0.002,2359368,0.626576,0.98087,12,804
6.71387e-05,0.002,4718664,0.00603952,0.0108349,17,778
0.02,0.03125,10280,1312.52,2070.02,8,704
0.275,0.03125,680,26584.2,41985.2,7,743
0.1375,0.03125,1320,12650.3,19977.6,6,725
0.06875,0.03125,2600,5650.71,8927.18,6,766
0.034375,0.03125,5160,2790.43,4405.04,8,760
0.0171875,0.03125,10280,1065.04,1691.31,6,713
0.00859375,0.03125,20520,537.162,850.147,6,769
0.00429688,0.03125,41000,215.491,343.095,5,692
0.00214844,0.03125,81960,97.3773,152.919,5,684
0.00107422,0.03125,163880,32.7521,52.9662,6,658
0.000537109,0.03125,327720,12.6471,19.7682,6,655
0.000268555,0.03125,655400,4.07794,6.41976,7,784
0.000134277,0.03125,1310760,0.92721,1.46562,11,798
6.71387e-05,0.03125,2621480,0.295961,0.467652,6,992
