epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.742462,1e-05,1496,2436.13,124,747,0.1
0.742462,1e-05,1544,1122.99,118,668,0.01
0.742462,1e-05,2472,654.195,131,695,0.001
0.742462,1e-05,28424,227.402,170,1085,0.0001
0.742462,1e-05,53016,311.768,126,974,1e-05
0.525,1e-05,2584,996.362,128,712,0.1
0.525,1e-05,2632,786.284,129,707,0.01
0.525,1e-05,3560,462.13,131,726,0.001
0.525,1e-05,29512,197.119,133,949,0.0001
0.525,1e-05,54104,179.978,133,969,1e-05
0.371231,1e-05,4760,701.889,135,763,0.1
0.371231,1e-05,4808,643.342,142,757,0.01
0.371231,1e-05,5736,427.986,136,792,0.001
0.371231,1e-05,31688,158.379,134,905,0.0001
0.371231,1e-05,56280,145.461,134,944,1e-05
0.2625,1e-05,9112,382.504,136,748,0.1
0.2625,1e-05,9160,390.466,134,755,0.01
0.2625,1e-05,10088,256.806,154,807,0.001
0.2625,1e-05,36040,107.967,143,1000,0.0001
0.2625,1e-05,60632,91.0155,143,972,1e-05
0.185616,1e-05,17816,236.486,143,796,0.1
0.185616,1e-05,17864,256.274,133,737,0.01
0.185616,1e-05,18792,183.677,139,754,0.001
0.185616,1e-05,44744,68.1432,132,881,0.0001
0.185616,1e-05,69336,63.208,132,924,1e-05
0.13125,1e-05,35224,151.518,137,752,0.1
0.13125,1e-05,35272,148.056,134,771,0.01
0.13125,1e-05,36200,123.917,135,760,0.001
0.13125,1e-05,62152,49.5873,137,891,0.0001
0.13125,1e-05,86744,39.4002,132,923,1e-05
0.0928078,1e-05,70040,88.4358,135,755,0.1
0.0928078,1e-05,70088,89.8458,134,746,0.01
0.0928078,1e-05,71016,79.8026,137,768,0.001
0.0928078,1e-05,96968,32.4278,133,891,0.0001
0.0928078,1e-05,121560,26.8042,135,935,1e-05
0.065625,1e-05,139672,48.9489,138,846,0.1
0.065625,1e-05,139720,51.4552,161,893,0.01
0.065625,1e-05,140648,47.0719,136,864,0.001
0.065625,1e-05,166600,21.2546,142,934,0.0001
0.065625,1e-05,191192,19.0363,138,972,1e-05
0.0464039,1e-05,278936,25.5199,140,801,0.1
0.0464039,1e-05,278984,26.3169,137,888,0.01
0.0464039,1e-05,279912,26.0892,148,863,0.001
0.0464039,1e-05,305864,13.9886,143,1041,0.0001
0.0464039,1e-05,330456,11.5865,132,1061,1e-05
0.0328125,1e-05,557464,13.0345,135,781,0.1
0.0328125,1e-05,557512,12.3949,139,780,0.01
0.0328125,1e-05,558440,12.626,137,823,0.001
0.0328125,1e-05,584392,8.46081,129,925,0.0001
0.0328125,1e-05,608984,6.653,130,910,1e-05
0.0232019,1e-05,1114520,5.27351,132,759,0.1
0.0232019,1e-05,1114568,5.54296,131,755,0.01
0.0232019,1e-05,1115496,5.47196,134,771,0.001
0.0232019,1e-05,1141448,4.05444,132,875,0.0001
0.0232019,1e-05,1166040,3.50479,144,963,1e-05
0.0164062,1e-05,2228632,2.11965,134,826,0.1
0.0164062,1e-05,2228680,2.54255,136,786,0.01
0.0164062,1e-05,2229608,2.10592,136,809,0.001
0.0164062,1e-05,2255560,1.9862,136,912,0.0001
0.0164062,1e-05,2280152,1.77105,134,958,1e-05
0.011601,1e-05,4456856,1.02411,141,845,0.1
0.011601,1e-05,4456904,0.938982,144,834,0.01
0.011601,1e-05,4457832,0.867454,137,865,0.001
0.011601,1e-05,4483784,0.721058,138,951,0.0001
0.011601,1e-05,4508376,0.790847,142,986,1e-05
0.00820312,1e-05,8913304,0.106034,157,881,0.1
0.00820312,1e-05,8913352,0.127391,156,894,0.01
0.00820312,1e-05,8914280,0.138063,153,894,0.001
0.00820312,1e-05,8940232,0.128154,149,1034,0.0001
0.00820312,1e-05,8964824,0.0456917,150,992,1e-05
0.00580049,1e-05,17826200,0.000863288,163,915,0.1
0.00580049,1e-05,17826248,2.50228e-05,156,908,0.01
0.00580049,1e-05,17827176,5.00457e-05,151,928,0.001
0.00580049,1e-05,17853128,0,152,987,0.0001
0.00580049,1e-05,17877720,0,148,1059,1e-05
0.00410156,1e-05,35651992,0,150,1012,0.1
0.00410156,1e-05,35652040,0,153,963,0.01
0.00410156,1e-05,35652968,0,146,963,0.001
0.00410156,1e-05,35678920,1.25114e-05,163,1026,0.0001
0.00410156,1e-05,35703512,0,157,1049,1e-05
0.00290024,1e-05,71303576,0,152,988,0.1
0.00290024,1e-05,71303624,0,152,982,0.01
0.00290024,1e-05,71304552,0,152,991,0.001
0.00290024,1e-05,71330504,0,248,1061,0.0001
0.00290024,1e-05,71355096,0,133,1128,1e-05
0.742462,0.002,792,2263.33,69,614,0.1
0.742462,0.002,840,1751.79,73,610,0.01
0.742462,0.002,1768,862.387,76,733,0.001
0.742462,0.002,27720,411.172,70,1341,0.0001
0.742462,0.002,52312,383.936,73,872,1e-05
