epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.742462,1e-05,1496,1670.62,154,822,0.1
0.742462,1e-05,1544,1408.95,132,793,0.01
0.742462,1e-05,2472,753.003,129,750,0.001
0.742462,1e-05,28424,361.094,123,799,0.0001
0.742462,1e-05,53016,343.64,126,880,1e-05
0.525,1e-05,2584,1191.86,129,719,0.1
0.525,1e-05,2632,878.326,125,665,0.01
0.525,1e-05,3560,531.433,135,735,0.001
0.525,1e-05,29512,191.71,129,855,0.0001
0.525,1e-05,54104,203.271,171,1178,1e-05
0.371231,1e-05,4760,667.878,122,712,0.1
0.371231,1e-05,4808,634.946,129,677,0.01
0.371231,1e-05,5736,346.663,130,667,0.001
0.371231,1e-05,31688,150.191,118,793,0.0001
0.371231,1e-05,56280,126.655,144,932,1e-05
0.2625,1e-05,9112,412.106,127,718,0.1
0.2625,1e-05,9160,422.775,138,880,0.01
0.2625,1e-05,10088,287.44,138,912,0.001
0.2625,1e-05,36040,102.017,159,849,0.0001
0.2625,1e-05,60632,93.986,122,991,1e-05
0.185616,1e-05,17816,252.891,125,653,0.1
0.185616,1e-05,17864,242.995,119,684,0.01
0.185616,1e-05,18792,186.14,119,665,0.001
0.185616,1e-05,44744,69.2391,134,930,0.0001
0.185616,1e-05,69336,61.9382,119,919,1e-05
0.13125,1e-05,35224,156.151,121,644,0.1
0.13125,1e-05,35272,154.589,125,648,0.01
0.13125,1e-05,36200,122.432,127,679,0.001
0.13125,1e-05,62152,47.7592,132,901,0.0001
0.13125,1e-05,86744,39.5399,121,880,1e-05
0.0928078,1e-05,70040,89.0011,131,682,0.1
0.0928078,1e-05,70088,89.0959,119,641,0.01
0.0928078,1e-05,71016,78.0136,121,700,0.001
0.0928078,1e-05,96968,32.2864,120,855,0.0001
0.0928078,1e-05,121560,28.2395,119,834,1e-05
0.065625,1e-05,139672,50.3061,119,659,0.1
0.065625,1e-05,139720,49.147,133,701,0.01
0.065625,1e-05,140648,46.3309,122,719,0.001
0.065625,1e-05,166600,22.4153,121,798,0.0001
0.065625,1e-05,191192,18.1225,119,841,1e-05
0.0464039,1e-05,278936,26.8904,132,686,0.1
0.0464039,1e-05,278984,25.8695,120,672,0.01
0.0464039,1e-05,279912,23.9215,125,698,0.001
0.0464039,1e-05,305864,13.4927,122,796,0.0001
0.0464039,1e-05,330456,11.1689,121,828,1e-05
0.0328125,1e-05,557464,14.9053,121,676,0.1
0.0328125,1e-05,557512,13.242,121,679,0.01
0.0328125,1e-05,558440,12.4068,121,784,0.001
0.0328125,1e-05,584392,9.04726,122,791,0.0001
0.0328125,1e-05,608984,6.73845,120,830,1e-05
0.0232019,1e-05,1114520,5.56914,125,694,0.1
0.0232019,1e-05,1114568,5.47817,125,688,0.01
0.0232019,1e-05,1115496,5.51578,125,696,0.001
0.0232019,1e-05,1141448,4.12857,123,799,0.0001
0.0232019,1e-05,1166040,3.52489,124,845,1e-05
0.0164062,1e-05,2228632,2.10879,123,720,0.1
